title,description,unit_type,rental_mode,price,room_price,bed_price,city,district,address,distance_to_university,nearby_universities,num_rooms,num_beds,num_bathrooms,gender_preference,has_internet,has_water,has_electricity,has_gas,has_ac,min_stay_months,max_stay_months,status,landlord_username
Shared Room at Fox,"Rent billed monthly. Nearby: Bakery, Dry Clean / Laundry, Pharmacy, Mosque, ATM, Church. Room breakdown — Room 1 (Triple): Study Desk & Chair, Mini Fridge, AC, Mirror, Private TV",room,,,3650,,Ismailia,Fox,"Fox St, Victoria Tower 1 - Ganb El Hayah Market",4.7 km,Suez Canal University,1,3,1,any,True,True,True,False,True,1,,available,imported_ismailia_listings
Apartment at Ard El Gami'at,"Rent billed semester. Nearby: Gym, ATM, Restaurants & Cafes, Church, Hospital / Medical Center, Pharmacy. Room breakdown — Room 1 (Triple): Study Desk & Chair, Mini Fridge, AC, Mirror, Private TV | Room 2 (Double): Wardrobe, Fan, Window / View, Mirror",apartment,whole_apartment,27750,,,Ismailia,Ard El Gami'at,"Gam3eyet El 3asher, 3emara 20 - Odam Mostashfa El Takhasosi",3.82 km,Suez Canal University,2,5,1,any,True,True,True,False,False,4,,available,imported_ismailia_listings
Studio at The Stadium,"Rent billed semester. Nearby: Mosque, Hospital / Medical Center, Pharmacy, Church, ATM, Bakery. Room breakdown — Room 1 (Single): Study Desk & Chair, Iron & Ironing Board, Private TV",apartment,whole_apartment,13400,,,Ismailia,The Stadium,"3emara 12, Reda St",3.88 km,Suez Canal University,1,1,1,any,False,True,True,True,False,4,,available,imported_ismailia_listings
Apartment at Sheikh Zayed,"Rent billed monthly. Nearby: Public Transport Station, Hospital / Medical Center, Church, Pharmacy, Mosque, Dry Clean / Laundry. Room breakdown — Room 1 (Triple): Private Bath, Fan, Wardrobe, Window / View, Iron & Ironing Board | Room 2 (Triple): Study Desk & Chair, Mini Fridge, AC, Mirror, Private TV",apartment,whole_apartment,6200,,,Ismailia,Sheikh Zayed,"El Herfeyeen St, 3emara 7 - Wara Nadi El Montazah",3.98 km,Suez Canal University,2,6,1,any,True,False,True,True,True,1,,available,imported_ismailia_listings
Apartment at Sheikh Zayed,"Rent billed monthly. Nearby: Public Transport Station, Supermarket / Grocery, Church, Gym, Mosque, Pharmacy. Room breakdown — Room 1 (Double): Private Bath, Private TV, Desk, Wardrobe | Room 2 (Double): Wardrobe, Fan, Window / View, Mirror | Room 3 (Single): Balcony, Mirror, Wardrobe, Private TV | Room 4 (Single): Study Desk & Chair, Mini Fridge, Wardrobe, Window / View",apartment,whole_apartment,5800,,,Ismailia,Sheikh Zayed,"El Herfeyeen St, 3emara 7 - Wara Nadi El Montazah",4.38 km,Suez Canal University,4,6,1,any,True,False,True,True,False,1,,available,imported_ismailia_listings
Studio at Sheikh Zayed,"Rent billed monthly. Nearby: Hospital / Medical Center, Bakery, Restaurants & Cafes, Pharmacy, Gym, Supermarket / Grocery. Room breakdown — Room 1 (Double): Balcony, Private Bath, Mirror, Private TV",apartment,whole_apartment,3550,,,Ismailia,Sheikh Zayed,"El Herfeyeen St, 3emara 7 - Wara Nadi El Montazah",3.56 km,Suez Canal University,1,2,1,any,True,False,True,True,False,1,,available,imported_ismailia_listings
Apartment at Ard El Gami'at,"Rent billed monthly. Nearby: Pharmacy, Gym, Church, ATM, Mosque, Bakery. Room breakdown — Room 1 (Double): AC, Desk, Iron & Ironing Board, Mirror | Room 2 (Double): Balcony, Private Bath, Mirror, Private TV | Room 3 (Single): Private Bath, Mirror, Desk, Window / View",apartment,whole_apartment,5200,,,Ismailia,Ard El Gami'at,"Gam3eyet El 3asher, 3emara 20 - Odam Mostashfa El Takhasosi",5.15 km,Suez Canal University,3,5,1,any,False,True,True,True,True,1,,available,imported_ismailia_listings
Apartment at The Stadium,"Rent billed monthly. Nearby: Mosque, ATM, Public Transport Station, Pharmacy, Gym, Restaurants & Cafes. Room breakdown — Room 1 (Triple): Study Desk & Chair, Mini Fridge, AC, Mirror, Private TV | Room 2 (Double): Wardrobe, Fan, Window / View, Mirror",apartment,whole_apartment,6700,,,Ismailia,The Stadium,"3emara 30, El Estad - Wara El Nadi El Egtema3i",4.16 km,Suez Canal University,2,5,1,any,True,True,False,True,False,1,,available,imported_ismailia_listings
Apartment at Sheikh Zayed,"Rent billed monthly. Nearby: Bakery, Church, Mosque, Restaurants & Cafes, Dry Clean / Laundry, Supermarket / Grocery. Room breakdown — Room 1 (Triple): Private Bath, Balcony, Wardrobe, Fan, Desk | Room 2 (Triple): AC, Private Bath, Wardrobe, Mirror, Desk",apartment,whole_apartment,6300,,,Ismailia,Sheikh Zayed,"El Share3 El Tegari, 3emara 110 - Ganb Gam3 Badr",4.09 km,Suez Canal University,2,6,1,any,True,False,True,True,False,1,,available,imported_ismailia_listings
Shared Room at El Eshreeni,"Rent billed monthly. Nearby: ATM, Mosque, Pharmacy, Public Transport Station, Church, Restaurants & Cafes. Room breakdown — Room 1 (Triple): Mini Fridge, AC, Iron & Ironing Board, Mirror, Wardrobe",room,,,4950,,Ismailia,El Eshreeni,"3emara 33, Hoda Shaarawy St - Odam El Forn El Aly",2.36 km,Suez Canal University,1,3,1,any,True,True,True,False,True,1,,available,imported_ismailia_listings
